number,DATA_EMISSAO,PEDC_DT_CHEGADA,P_PED_CLIENTE,ENTREGA_SIGE,V_TOTAL,V_FRETE,IPMP_VL_MEIO,DECODE(PVC.PEDC_SITUACAO.'C'.',IPI_SKU_ITEM,IPI_V_UNITARIO,IPI_DESC_ITEM
1,22/08/2016,22/08/2016 19:10:00,63623933,6362393301,308.39,5.99,308.39,Liquidado,413771,336,"33,600,000"
2,22/08/2016,22/08/2016 19:10:00,63623937,6362393701,29.89,9.99,29.89,Liquidado,358559,19.9,0
3,22/08/2016,22/08/2016 19:10:00,63623938,6362393801,504.9,25.9,504.9,Liquidado,595934,479,0
4,22/08/2016,22/08/2016 19:10:00,63623939,6362393901,1239.89,19.99,1239.89,Liquidado,373586,1219.9,0
5,22/08/2016,22/08/2016 19:10:00,63623940,6362394001,153.91,19,153.91,Liquidado,308044,149.9,"14,990,000"
6,22/08/2016,22/08/2016 19:10:00,63623944,6362394401,227.66,9.95,227.66,Aberto,450788,241.9,"24,190,000"
7,22/08/2016,22/08/2016 19:10:00,63623944,6362394402,225.05,9.95,225.05,Aberto,350919,239,"23,900,000"
8,22/08/2016,22/08/2016 19:11:00,63623946,6362394601,805.8,15.9,805.8,Liquidado,589374,789.9,0
9,22/08/2016,22/08/2016 19:11:00,63623948,6362394801,98.04,3.99,98.04,Liquidado,365217,99,"4,950,000"
10,22/08/2016,22/08/2016 19:11:00,63623949,6362394901,379.9,0,379.9,Liquidado,376850,379.9,0
11,22/08/2016,22/08/2016 19:11:00,63623950,6362395001,508,19,508,Liquidado,350591,489,0
12,22/08/2016,22/08/2016 19:11:00,63623951,6362395101,454.9,25.9,454.9,Aberto,588898,429,0
13,22/08/2016,22/08/2016 19:11:00,63623952,6362395201,52.41,5,52.41,Liquidado,366652,49.9,"2,490,000"
14,22/08/2016,22/08/2016 19:11:00,63623953,6362395301,264.05,18,264.05,Liquidado,304272,259,"12,950,000"
15,22/08/2016,22/08/2016 19:12:00,63623954,6362395401,62.9,5,62.9,Liquidado,537390,57.9,0
16,22/08/2016,22/08/2016 19:12:00,63623956,6362395601,1365.9,16,1365.9,Liquidado,477865,1349.9,0
17,22/08/2016,22/08/2016 19:12:00,63623958,6362395801,1516.9,17.9,1516.9,Liquidado,596566,1499,0
18,22/08/2016,22/08/2016 19:12:00,63623960,6362396001,280,22,280,Liquidado,458352,129,0
19,22/08/2016,22/08/2016 19:12:00,63623962,6362396201,1109.99,10,1109.99,Liquidado,588411,1099.99,0
20,22/08/2016,22/08/2016 19:12:00,63623963,6362396301,4679,0,4679,Aberto,589775,4679,0
21,22/08/2016,22/08/2016 19:12:00,63623965,6362396501,649,0,649,Aberto,549595,649,0
22,22/08/2016,22/08/2016 19:12:00,63623966,6362396601,796.9,17.9,796.9,Liquidado,596423,779,0
23,22/08/2016,22/08/2016 19:13:00,63623968,6362396801,1169.02,25.9,1169.02,Aberto,592113,1299,"155,880,000"
24,22/08/2016,22/08/2016 19:13:00,63623970,6362397001,419,0,419,Liquidado,469976,419,0
25,22/08/2016,22/08/2016 19:13:00,63623972,6362397201,1324.9,25.9,1324.9,Aberto,592113,1299,0
26,22/08/2016,22/08/2016 19:13:00,63623974,6362397401,113.7,13.9,113.7,Liquidado,507573,29.9,0
27,22/08/2016,22/08/2016 19:13:00,63623974,6362397401,113.7,13.9,113.7,Liquidado,507583,69.9,0
28,22/08/2016,22/08/2016 19:13:00,63623975,6362397501,790,12,790,Liquidado,126310,778,0
29,22/08/2016,22/08/2016 19:14:00,63623977,6362397701,71.9,12,71.9,Liquidado,596349,59.9,0
30,22/08/2016,22/08/2016 19:14:00,63623979,6362397901,1109.9,15.9,1109.9,Liquidado,588815,547,0
31,22/08/2016,22/08/2016 19:14:00,63623980,6362398001,878.41,71,878.41,Liquidado,533076,849.9,"42,490,000"
32,22/08/2016,22/08/2016 19:14:00,63623981,6362398101,46,8,46,Aberto,35670,38,0
33,22/08/2016,22/08/2016 19:14:00,63623982,6362398201,802.8,12.9,802.8,Liquidado,589374,789.9,0
34,22/08/2016,22/08/2016 19:14:00,63623983,6362398301,1164.9,15.9,1164.9,Aberto,543799,1149,0
35,22/08/2016,22/08/2016 19:14:00,63623985,6362398501,97.9,8,97.9,Liquidado,11970,89.9,0
36,22/08/2016,22/08/2016 19:14:00,63623986,6362398601,2278.9,79.9,2278.9,Aberto,587940,2199,0
37,22/08/2016,22/08/2016 19:14:00,63623986,6362398602,874.9,75,874.9,Aberto,480544,799.9,0
38,22/08/2016,22/08/2016 19:14:00,63623987,6362398701,62.8,7.9,62.8,Liquidado,380675,54.9,0
39,22/08/2016,22/08/2016 19:14:00,63623988,6362398801,0,0,2324.9,Cancelado,530122,2299,0
40,22/08/2016,22/08/2016 19:14:00,63623989,6362398901,1278.99,29.99,1278.99,Liquidado,591648,1249,0
41,22/08/2016,22/08/2016 19:15:00,63623991,6362399101,27.89,4.99,27.89,Liquidado,11000,22.9,0
42,22/08/2016,22/08/2016 19:15:00,63623992,6362399201,139,10,139,Aberto,458351,129,0
43,22/08/2016,22/08/2016 19:15:00,63623993,6362399301,805.8,15.9,805.8,Liquidado,588404,789.9,0
44,22/08/2016,22/08/2016 19:15:00,63623994,6362399401,1374.9,45,1374.9,Liquidado,582353,1329.9,0
45,22/08/2016,22/08/2016 19:15:00,63623996,6362399601,1109.99,10,1109.99,Liquidado,588411,1099.99,0
46,22/08/2016,22/08/2016 19:15:00,63623997,6362399701,0,0,173.93,Cancelado,478650,29.9,"2,390,000"
47,22/08/2016,22/08/2016 19:15:00,63623997,6362399701,0,0,173.93,Cancelado,478651,17.9,"1,430,000"
48,22/08/2016,22/08/2016 19:15:00,63623997,6362399701,0,0,173.93,Cancelado,479855,28.9,"2,310,000"
49,22/08/2016,22/08/2016 19:15:00,63623997,6362399701,0,0,173.93,Cancelado,479857,16.39,"1,310,000"
50,22/08/2016,22/08/2016 19:15:00,63623997,6362399701,0,0,173.93,Cancelado,506115,39.9,"3,190,000"
51,22/08/2016,22/08/2016 19:15:00,63624000,6362400001,872.84,20,872.84,Aberto,380755,473.8,"47,380,000"
52,22/08/2016,22/08/2016 19:16:00,63624002,6362400201,918,20,918,Liquidado,126315,898,0
53,22/08/2016,22/08/2016 19:16:00,63624003,6362400301,154.9,21,154.9,Liquidado,30216,133.9,0
54,22/08/2016,22/08/2016 19:16:00,63624004,6362400401,562,13,562,Liquidado,390382,549,0
55,22/08/2016,22/08/2016 19:16:00,63624006,6362400601,537.9,38,537.9,Liquidado,582224,499.9,0
56,22/08/2016,22/08/2016 19:16:00,63624007,6362400701,111.6,12,111.6,Aberto,341748,24.9,0
57,22/08/2016,22/08/2016 19:16:00,63624008,6362400801,2414,15,2414,Liquidado,532886,2399,0
58,22/08/2016,22/08/2016 19:17:00,63624009,6362400901,428.55,21,428.55,Liquidado,423208,429,"21,450,000"
59,22/08/2016,22/08/2016 19:17:00,63624010,6362401001,1668.99,39.99,1668.99,Aberto,582345,1629,0
60,22/08/2016,22/08/2016 19:17:00,63624010,6362401002,357.9,22,357.9,Aberto,384168,335.9,0
61,22/08/2016,22/08/2016 19:17:00,63624012,6362401201,1109.99,10,1109.99,Liquidado,588411,1099.99,0
62,22/08/2016,22/08/2016 19:17:00,63624015,6362401501,92.8,7.9,92.8,Liquidado,542213,84.9,0
63,22/08/2016,22/08/2016 19:18:00,63624019,6362401901,914.9,15.9,914.9,Liquidado,588711,899,0
64,22/08/2016,22/08/2016 19:18:00,63624021,6362402101,415,37,415,Liquidado,402187,378,0
65,22/08/2016,22/08/2016 19:18:00,63624022,6362402201,1592.7,12.9,1592.7,Liquidado,588404,789.9,0
66,22/08/2016,22/08/2016 19:18:00,63624022,6362402201,1592.7,12.9,1592.7,Liquidado,589374,789.9,0
67,22/08/2016,22/08/2016 19:19:00,63624025,6362402501,147.3,7.9,147.3,Liquidado,380673,31.5,0
